event_id,gold_tuple_count,gold_evidence_id_count,selected_evidence_id_count,gold_evidence_in_prompt_count,gold_evidence_in_prompt_ratio,gold_evidence_in_chain_count,gold_evidence_in_chain_ratio,predicted_tuple_count,matched_tuple_count,zero_prediction,parse_success,chain_confidence,num_chain_stages_covered,gold_evidence_not_in_prompt,gold_evidence_not_in_chain,selected_non_gold_evidence_count,zero_prediction_reason
E001,4,4,12,2,0.5,2,0.5,0,0,True,True,0.2089,3,ev-00010|ev-00023,ev-00002|ev-00023,10,weak_chain_confidence_despite_some_gold_prompt_overlap
E002,3,7,12,5,0.7143,0,0.0,0,0,True,True,0.0,0,ev-00048|ev-00049,ev-00041|ev-00042|ev-00044|ev-00046|ev-00047|ev-00048|ev-00049,7,gold_evidence_absent_from_event_chain
E003,3,5,12,2,0.4,1,0.2,3,0,False,True,0.0104,1,ev-01436|ev-01438|ev-01440,ev-00056|ev-00060|ev-01436|ev-01440,10,weak_chain_confidence_despite_some_gold_prompt_overlap
E004,3,4,12,3,0.75,0,0.0,3,2,False,True,0.0132,1,ev-01460,ev-00076|ev-00080|ev-00081|ev-01460,9,gold_evidence_absent_from_event_chain
E005,3,2,12,2,1.0,1,0.5,2,2,False,True,0.0325,1,,ev-00097,10,weak_chain_confidence_despite_some_gold_prompt_overlap
E006,3,3,12,3,1.0,0,0.0,1,1,False,True,0.1769,1,,ev-00116|ev-00119|ev-00124,9,gold_evidence_absent_from_event_chain
E007,3,3,12,2,0.6667,1,0.3333,3,2,False,True,0.2556,2,ev-00154,ev-00137|ev-00154,10,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E008,3,2,12,1,0.5,2,1.0,2,0,False,True,0.3898,2,ev-00179,,11,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E009,3,3,12,2,0.6667,0,0.0,2,1,False,True,0.3552,2,ev-01536,ev-00205|ev-00206|ev-01536,10,gold_evidence_absent_from_event_chain
E010,3,3,12,1,0.3333,0,0.0,0,0,True,True,0.0,0,ev-00238|ev-01564,ev-00225|ev-00238|ev-01564,11,gold_evidence_absent_from_event_chain
E011,5,7,12,3,0.4286,2,0.2857,4,3,False,True,0.5292,3,ev-01576|ev-01584|ev-01585|ev-01589,ev-00242|ev-01576|ev-01584|ev-01585|ev-01589,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E012,5,8,12,5,0.625,4,0.5,4,1,False,True,0.6525,4,ev-01591|ev-01599|ev-01603,ev-00260|ev-00264|ev-01591|ev-01603,7,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E013,3,7,12,2,0.2857,2,0.2857,2,2,False,True,0.5362,4,ev-00291|ev-01621|ev-01622|ev-01625|ev-01630,ev-00291|ev-01621|ev-01622|ev-01625|ev-01630,10,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E014,3,6,12,3,0.5,0,0.0,1,1,False,True,0.1634,1,ev-01640|ev-01642|ev-01644,ev-00300|ev-00301|ev-00309|ev-01640|ev-01642|ev-01644,9,gold_evidence_absent_from_event_chain
E015,3,6,12,6,1.0,5,0.8333,2,1,False,True,0.4785,3,,ev-00333,6,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E016,4,6,12,3,0.5,3,0.5,3,1,False,True,0.312,1,ev-00385|ev-00390|ev-00400,ev-00362|ev-00390|ev-00400,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E017,3,5,12,5,1.0,4,0.8,1,1,False,True,0.5127,3,,ev-00407,7,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E018,4,7,12,4,0.5714,1,0.1429,2,1,False,True,0.3877,2,ev-01651|ev-01653|ev-01654,ev-00437|ev-00439|ev-00445|ev-01651|ev-01653|ev-01654,8,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E019,5,12,12,4,0.3333,2,0.1667,2,2,False,True,0.2155,1,ev-01673|ev-01676|ev-01677|ev-01678|ev-01680|ev-01682|ev-01683|ev-01685,ev-00460|ev-00461|ev-01673|ev-01676|ev-01677|ev-01678|ev-01680|ev-01682|ev-01683|ev-01685,8,weak_chain_confidence_despite_some_gold_prompt_overlap
E020,5,13,12,7,0.5385,9,0.6923,3,3,False,True,0.7629,4,ev-00482|ev-00485|ev-01697|ev-01698|ev-01702|ev-01706,ev-00482|ev-01697|ev-01702|ev-01706,5,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E021,3,5,12,3,0.6,5,1.0,4,2,False,True,0.7622,4,ev-01714|ev-01722,,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E022,3,4,12,4,1.0,2,0.5,2,1,False,True,0.6677,4,,ev-00520|ev-00521,8,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E023,5,8,12,2,0.25,4,0.5,2,2,False,True,0.6573,3,ev-00552|ev-00563|ev-00564|ev-00565|ev-00570|ev-00581,ev-00552|ev-00565|ev-00570|ev-00581,10,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E024,3,5,12,2,0.4,0,0.0,3,2,False,True,0.199,2,ev-01760|ev-01761|ev-01762,ev-00584|ev-00586|ev-01760|ev-01761|ev-01762,10,gold_evidence_absent_from_event_chain
E025,3,4,12,3,0.75,3,0.75,2,2,False,True,0.8096,4,ev-01777,ev-01777,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E026,3,6,12,4,0.6667,1,0.1667,3,1,False,True,0.3681,2,ev-01792|ev-01799,ev-00623|ev-00626|ev-00627|ev-01792|ev-01799,8,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E027,4,5,12,1,0.2,1,0.2,1,0,False,True,0.4601,2,ev-00651|ev-01812|ev-01814|ev-01822,ev-00643|ev-01812|ev-01814|ev-01822,11,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E028,3,5,12,2,0.4,0,0.0,1,0,False,True,0.3831,2,ev-00688|ev-01257|ev-01274,ev-00664|ev-00669|ev-00688|ev-01257|ev-01274,10,gold_evidence_absent_from_event_chain
E029,3,13,12,10,0.7692,9,0.6923,1,1,False,True,0.5157,3,ev-01833|ev-01837|ev-01846,ev-00696|ev-00699|ev-01837|ev-01846,2,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E030,3,2,12,2,1.0,0,0.0,1,1,False,True,0.2522,1,,ev-00711|ev-00714,10,gold_evidence_absent_from_event_chain
E031,4,6,12,5,0.8333,5,0.8333,3,1,False,True,0.7662,4,ev-01851,ev-01851,7,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E032,4,6,12,3,0.5,0,0.0,0,0,True,True,0.4347,2,ev-01876|ev-01881|ev-01888,ev-00756|ev-00758|ev-00760|ev-01876|ev-01881|ev-01888,9,gold_evidence_absent_from_event_chain
E033,5,9,12,3,0.3333,4,0.4444,0,0,True,True,0.3705,3,ev-00797|ev-00800|ev-00805|ev-00807|ev-00810|ev-00811,ev-00797|ev-00805|ev-00807|ev-00810|ev-00811,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E034,5,5,12,3,0.6,0,0.0,2,1,False,True,0.2884,1,ev-01902|ev-01903,ev-00815|ev-00821|ev-00822|ev-01902|ev-01903,9,gold_evidence_absent_from_event_chain
E035,4,5,12,2,0.4,0,0.0,3,2,False,True,0.4785,2,ev-01911|ev-01924|ev-01930,ev-00835|ev-00839|ev-01911|ev-01924|ev-01930,10,gold_evidence_absent_from_event_chain
E036,4,7,12,5,0.7143,1,0.1429,3,0,False,True,0.0697,2,ev-01933|ev-01942,ev-00857|ev-00858|ev-00859|ev-00862|ev-01933|ev-01942,7,weak_chain_confidence_despite_some_gold_prompt_overlap
E037,4,8,12,3,0.375,1,0.125,0,0,True,True,0.2688,2,ev-00895|ev-01952|ev-01956|ev-01964|ev-01967,ev-00878|ev-00882|ev-00895|ev-01952|ev-01956|ev-01964|ev-01967,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E038,4,5,12,1,0.2,2,0.4,0,0,True,True,0.6796,4,ev-00933|ev-01976|ev-01979|ev-01982,ev-01976|ev-01979|ev-01982,11,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E039,5,9,12,3,0.3333,5,0.5556,4,2,False,True,0.5246,3,ev-00954|ev-00966|ev-00983|ev-01992|ev-01997|ev-02010,ev-00966|ev-00983|ev-01992|ev-02010,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E040,4,5,12,1,0.2,1,0.2,1,0,False,True,0.6081,5,ev-00992|ev-01327|ev-01362|ev-01364,ev-00992|ev-01327|ev-01362|ev-01364,11,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E041,5,10,12,7,0.7,6,0.6,4,1,False,True,0.4897,3,ev-02019|ev-02024|ev-02026,ev-01010|ev-01016|ev-02019|ev-02026,5,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E042,5,7,12,3,0.4286,0,0.0,1,1,False,True,0.0097,1,ev-01043|ev-01044|ev-01045|ev-01060,ev-01032|ev-01034|ev-01041|ev-01043|ev-01044|ev-01045|ev-01060,9,gold_evidence_absent_from_event_chain
E043,4,9,12,2,0.2222,0,0.0,3,1,False,True,0.205,1,ev-01088|ev-01091|ev-01100|ev-01104|ev-01105|ev-01106|ev-01113,ev-01069|ev-01072|ev-01088|ev-01091|ev-01100|ev-01104|ev-01105|ev-01106|ev-01113,10,gold_evidence_absent_from_event_chain
E044,5,7,12,3,0.4286,0,0.0,2,2,False,True,0.0,0,ev-02036|ev-02037|ev-02048|ev-02050,ev-01117|ev-01118|ev-01124|ev-02036|ev-02037|ev-02048|ev-02050,9,gold_evidence_absent_from_event_chain
E045,5,4,12,2,0.5,1,0.25,3,2,False,True,0.2429,2,ev-02051|ev-02066,ev-01138|ev-02051|ev-02066,10,weak_chain_confidence_despite_some_gold_prompt_overlap
E046,3,2,12,2,1.0,0,0.0,1,1,False,True,0.2377,1,,ev-01157|ev-01159,10,gold_evidence_absent_from_event_chain
E047,3,7,12,2,0.2857,2,0.2857,0,0,True,True,0.1281,2,ev-02101|ev-02102|ev-02103|ev-02104|ev-02105,ev-01177|ev-02101|ev-02102|ev-02103|ev-02105,10,weak_chain_confidence_despite_some_gold_prompt_overlap
E048,3,4,12,3,0.75,3,0.75,1,1,False,True,0.5961,3,ev-01210,ev-01210,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E049,5,8,12,1,0.125,0,0.0,2,1,False,True,0.2886,2,ev-01369|ev-01370|ev-01382|ev-01385|ev-01386|ev-01390|ev-01400,ev-01217|ev-01369|ev-01370|ev-01382|ev-01385|ev-01386|ev-01390|ev-01400,11,gold_evidence_absent_from_event_chain
E050,3,4,12,4,1.0,2,0.5,4,3,False,True,0.6385,4,,ev-01239|ev-01240,8,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
