event_id,candidate_id,stakeholder,opinion,sentiment,rationale,evidence_ids,evidence_title,evidence_text_excerpt,support_label,suspected_issue
E001,LLM_E001_001,三元里村村民,总体上同意城中村改造，但对补偿安置方案的支持率偏低，存在诉求和不满,mixed,ev-00023显示改造同意率超过80%，但补偿方案支持率仅33.62%；ev-00010显示村民对征拆启动感到振奋，但支持率低表明存在不满,ev-00023|ev-00010,,"属于白云新城辐射带的三元里村,改造已是大势所趋。截至5月30日,三元里城中村的居民同意城中村改造比率超过了80%,拆迁补偿方案支持比率为33.62%。城中村改造,集体和居民最直接的得益是什么?改造后,",supported,sentiment_questionable|too_long_or_not_atomic
E001,LLM_E001_003,对改造持积极态度的村民,对征拆工作组进驻感到振奋，并主动前往咨询征收事宜,positive,"ev-00010 описано, что村民激动并咨询工作组",ev-00010,,"经过长达十年的停滞,广州市白云区三元里村的旧城改造项目迎来了实质性进展。根据最新消息,白云区已成立13个征收工作组进驻三元里村,正式启动征拆工作。居民对这一变化感到振奋,已有多人主动前往工作组咨询征收",supported,no_issue_detected
E001,LLM_E001_004,对补偿方案不满的村民,仅33.62%的村民支持拆迁补偿方案，多数人可能对补偿标准不满,negative,ev-00023显示补偿方案支持率低，暗示负面情绪,ev-00023,,"属于白云新城辐射带的三元里村,改造已是大势所趋。截至5月30日,三元里城中村的居民同意城中村改造比率超过了80%,拆迁补偿方案支持比率为33.62%。城中村改造,集体和居民最直接的得益是什么?改造后,",supported,no_issue_detected
E002,LLM_E002_002,浦东新区唐镇政府,积极推动改造，提供安置房源和就业保障方案,positive,官方文件显示政府批复实施方案、启动安置房建设，并针对被征地人员制定就业和社会保障方案。,ev-00042|ev-00046|ev-00047|ev-00048,,"摘要:浦东小湾村将变身高新产业园区。2024年1月3日,浦东唐镇小湾村“城中村”改造项目提前3天实现100%居民征收签约。与此同时,首批征收安置房地块启动建设,将提供2500余套安置房源,建筑面积共约",supported,sentiment_questionable
E006,LLM_E006_001,美心翡翠明庭小区业主,质疑物业费涨价投票结果真实性，要求调查投票造假行为,negative,根据新闻报道，业主对公示的投票结果与实际调查的差异提出质疑，追问造假者。,ev-00116,,"2025-04-17 21:13 两个星期过去,围绕着小区物业费涨价的争论在广州市番禺区大龙街道美心翡翠明庭小区还是日益激烈,大家都在追问:公示的投票结果与实际调查为什么相差那么大?是谁在作假?",supported,no_issue_detected
E007,LLM_E007_001,蓝色康园小区业主,业主集中反映物业费从每平方米一块多涨到两块多且未签新合同、公共花园被占用改作员工宿舍、相关水电费未公示，要求物业方整改并公示费用。,negative,ev-00137和ev-00139均报道了业主的投诉和不满。,ev-00137|ev-00139,,"近日,广州海珠区蓝色康园小区的业主向新快报记者反映,小区物业疑似占用公共空间做宿舍,并在公共区域堆放杂物等,且当中产生的水电费并没有公示,业主们怀疑这些费用被均算,作为公摊费用向所有业主进行收费。记者",supported,too_long_or_not_atomic
E008,LLM_E008_001,白马庙街2号小区2单元四五六楼四户业主,针对一楼业主阻挠加装电梯的行为，向温江区人民法院提起诉讼，要求停止阻挠并继续施工,positive,直接证据显示高层业主作为原告提起诉讼,ev-00179|ev-00180,,"成都市温江区白马庙街2号小区四五六楼四户业主,因为一楼2户业主变卦阻挠加装电梯,将一楼业主告上法庭。这也是成都市首例因“电梯加装”引起的诉讼案。 成都市温江区白马庙街2号小区修建于2004年前后,只有",supported,too_long_or_not_atomic
E010,LLM_E010_EXP_002,媒体,媒体对衢州市柯城区百家坊未来社区安置房延期交付事件进行跟踪报道，呼吁加强监管和制度建设,neutral,新闻报道ev-00225记录了媒体对事件的关注,ev-00225,,"了解到, 绍兴市柯桥区杭越府项目 发布《告知函》, 向市民表达歉意,并宣布延期交付。 关于杭越府项目交付的告知函 亲爱的杭越府业主家人: 由于施工单位与项目公司合同纠纷,致使杭越府未能顺利竣工备案,",partially_supported,evidence_weak_support|stakeholder_too_generic
E012,LLM_E012_005,公众,网友呼吁严查学校食品安全问题，表达愤怒,negative,网络舆论强烈谴责，要求严惩涉事方，保护学生健康。,ev-00260,,"长丰中学“臭肉事件”:黑心学校,何时能止? 云南长丰中学竟然拿变质臭肉给孩子们吃!这事儿一传出来,网上立马就炸了,家长们气不打一处来,网友们也是纷纷声援,要求严查严惩。 揭开食堂的“黑锅盖” 你想象一",supported,stakeholder_too_generic
E013,LLM_E013_002,海口市市场监督管理局,接到反映后立即赶赴现场检查、立案调查，并通报对学校作出警告和5万元罚款的处理结果,neutral,官方通报显示迅速响应，依法处罚涉事学校,ev-00284|ev-01612|ev-01621,,"央视网消息: 海口市市场监督管理局12月29日通报,近日,接到学生家长反映北京大学附属小学海口学校食堂存在鼠迹等食品安全问题后,该局立即赶赴现场进行检查并立案调查。 经调查,涉事学校食堂存在防鼠设施不",supported,no_issue_detected
E015,LLM_E015_002,肥乡区公安机关,立即开展侦破工作，于3月11日全部抓获涉案犯罪嫌疑人并依法采取刑事强制措施,neutral,官方通报明确指出公安机关立即侦破并抓获全部犯罪嫌疑人，体现了执法行动,ev-00331|ev-00326|ev-00329|ev-00330|ev-00333,,"“微观肥乡”17日发布通报:3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区公安机关立即开展侦破工作。3月11日,涉案犯罪嫌疑人被全部抓获,现已依法采取刑事强制措施。司法机关将对犯罪行",supported,no_issue_detected
E016,LLM_E016_001,遇难学生家属,要求查明真相，严惩责任人,negative,证据显示家属公开表达想要真相、要求处分责任人,ev-00400,,"遇难学生家属:想要真相!该受处分的受处分! 看看新闻Knews 2025-12-09 08:12 ·上海 ·看看新闻Knews官方网易号 2024年1月19日深夜,河南省方城县独树镇砚山铺村英才学校一",supported,no_issue_detected
E018,LLM_E018_001,暨南大学学生,反映宿舍霉菌遍布、甲醛超标，导致皮肤过敏、头晕等健康问题，要求学校解决宿舍环境问题,negative,多位学生在社交媒体上揭露宿舍环境恶劣，并出现健康问题，表达了对学校处理不力的不满,ev-01658|ev-01654|ev-00439,,"暨南大学学生质疑宿舍甲醛超标,健康隐患引关注! 近日,暨南大学的学生们纷纷在社交媒体上发声,揭露宿舍环境堪忧的现状。学生们反映,宿舍内霉菌肆虐,厕所和家具老旧破损,更令人担忧的是,有学生怀疑宿舍甲醛超",supported,too_long_or_not_atomic
E018,LLM_E018_003,暨南大学校方,建议学生暂时克服困难或回家等待，无法全面满足更换设施的请求,negative,校方反馈表示当前无法提供解决方案，学生感到失望,ev-01651,,"校方在收到投诉后,虽进行了走访调查并收集学生意见,但最终反馈表示当前无法提供解决方案,建议学生暂时克服困难或回家等待新学期开始再行入住,对于更换设施的请求也难以全面满足。 另一名网友同样证实了宿舍条件",supported,no_issue_detected
E020,LLM_E020_002,成都市联合调查组,召开新闻发布会，公布调查结果与处理措施，回应公众关切,neutral,联合调查组于3月17日举行新闻发布会，由多个部门负责人介绍事件经过及已采取的措施，旨在公开透明回应社会关注。,ev-00485|ev-01709|ev-01706|ev-01704|ev-01705|ev-00482,,"导读 今天(3月17日)上午10点30分,成都七中实验学校食堂管理问题成都市联合调查组举行新闻发布会,由成都市市场监管局、成都市卫健委、成都市教育局、成都市温江区政府、成都市公安局、四川源坤国科质量检",supported,too_long_or_not_atomic
E020,LLM_E020_003,四川省教育厅,高度重视事件，立即派出工作组会同成都市教育局进行核查处置,positive,教育厅在事件发生后第一时间派出工作组前往学校，会同当地教育部门开展核查，并承诺及时通报进展。,ev-01691|ev-01693,,"3月12日,部分学生家长反映成都七中实验学校食堂有关问题。教育厅对此高度重视,立即派出工作组前往成都七中实验学校会同成都市教育局进行核查处置,有关调查核实和相关工作跟进情况,将及时通报。同时,已要求各",supported,no_issue_detected
E022,LLM_E022_002,武当山旅游经济特区公安局局长蓝侠,药王谷中医馆被立案侦查，初步符合虚假广告罪，案件复杂取证量大,neutral,警方负责人透露案件性质和调查难点,ev-01738,,"11月11日,武当山旅游经济特区公安局局长蓝侠告诉新京报记者,药王谷中医馆已被立案侦查,从初查证据来看更符合虚假广告罪构成要件。因药王谷中医馆医疗纠纷案取证量大,而且涉中药新型领域复杂案件,调查取证也",supported,too_long_or_not_atomic
E022,LLM_E022_003,广大网友,关注'药王谷抗癌中心调查'事件,neutral,官方通报中致谢网友关注，表明公众关注是事件推进因素,ev-00521,,"2024年12月2日,武当山特区卫生健康局、武当山特区市场监督管理局、武当山特区公安局发布情况通报:感谢广大网友对“药王谷抗癌中心调查”事件的关注。武当山特区高度重视,特区相关部门对此事前期已依法立案",supported,no_issue_detected
E023,LLM_E023_003,第三方设备维保公司工程师,违规进入彩超检查室与医务人员沟通调试设备，被院方通报处理,negative,医院通报明确指出工程师违规进入检查室，该行为导致患者投诉,ev-00563|ev-00564|ev-00565|ev-00568|ev-00570,,"中新网12月9日电 广东东莞市中医院近日在其微信公众号发布通报称,近日,某患者在东莞市中医院进行心脏彩超检查时,第三方设备维保公司一工程师违规进入检查室与医务人员沟通调试检查设备事宜,导致患者产生不良",supported,no_issue_detected
E023,LLM_E023_005,公众,关注事件，表达对患者隐私的担忧，支持医院整改,mixed,事件引发广泛关注，公众舆论既有批评也有对医院整改的期待,ev-00579,,"2024年12月8日,东莞市中医院发布声明,回应近日发生的一起引起广泛关注的事件。根据医院的通报,事情起因于一名患者在接受心脏彩超检查时,一名男子未经允许闯入检查室,打破了患者的隐私空间,导致患者产生",partially_supported,sentiment_questionable|stakeholder_too_generic|too_long_or_not_atomic
E024,LLM_E024_003,乐昌镇政府,此事已由民政局牵头、辖区派出所调查处理，正在依法办理中,neutral,乐昌镇政府回应记者称正由多部门联合处理,ev-01762|ev-00584,,"4月24日,有网民发布视频称,山西临汾市曲沃县李女士反映其爸爸在曲沃县天慈养老院被捆绑,浑身是伤,并且目前老人脑出血在住院。4月25日下午,乐昌镇政府回应记者称,目前此事由民政局牵头和辖区派出所正在调",supported,no_issue_detected
E026,LLM_E026_001,邓州市卫生健康委员会,初步认定这是一起患者未能真实说明病情和医疗人员漏诊误诊造成的医疗事故，将依法处理相关责任人。,negative,官方通报确认医疗事故并承诺追责，表达了对事件的负面定性。,ev-01799|ev-01805|ev-01792,,"据邓州市卫生健康委员会微信公众号消息,河南邓州市卫健委6月1日发布情况通报: 5月31日,媒体报道“怀胎7月女大学生被当肾病医治后身亡”一事,引发社会关注。初步查明,2024年2月7日,患者庞某某因“",supported,no_issue_detected
E027,LLM_E027_001,上海市公安局浦东分局,成功捣毁医托诈骗团伙，维护患者权益,positive,警方采取行动抓获40余名嫌疑人，涉案金额450余万元,ev-01814|ev-00643,,"记者19日从上海市公安局浦东分局获悉,近日,当地警方捣毁一个专门在各个知名医院周边实施“医托”诈骗的团伙。经初步查证,该案涉及被害人近千名,涉案金额达450余万元。 记者:陈杰、兰天鸣 报道员:吴一凡",supported,sentiment_questionable
E028,LLM_E028_001,福州市疾控中心,上线紧缺疫苗排队预约系统以回应群众预约公平需求,positive,官方报道显示福州疾控上线系统，旨在优化疫苗资源配置，回应预约公平和透明需求。,ev-00669|ev-00664,,"东南网12月25日讯(福建日报记者 张静雯 通讯员 林文婧)近日,“福州疾控”微信公众号上线“紧缺疫苗排队预约”系统。目前已推出HPV疫苗排队预约,今后将视情况推出其他紧缺疫苗排队服务。 据介绍,该排",supported,no_issue_detected
E030,LLM_E030_EXP_001,深圳市卫生健康委员会,深圳市就医挂号无障碍环境公益诉讼事件相关工作中，政府部门依法依规进行处理并回应社会关切,neutral,官方文件ev-00714记录了深圳市卫生健康委员会的立场和行动,ev-00714,,"线上预约挂号就医,对于熟练使用电子设备的年轻人来说易如反掌,但对于残障人士、老年人等特殊群体而言,却不是一件容易的事。今年4月,深圳市检察院收到一条无障碍挂号就医的公益诉讼线索,反映我市部分医院线上及",partially_supported,no_issue_detected
E031,LLM_E031_003,江苏省消防救援总队,迅速出动救援并发布火情快报，事故由电动车起火引发,neutral,消防支队及时调派力量扑灭明火，并通过官方公众号发布火情信息,ev-01851|ev-01854,,"2024年2月23日4时39分,南京市消防救援支队指挥中心接到报警:南京市雨花台区明尚西苑6栋发生火灾。接警后,支队迅速调集8个消防救援站、25辆消防车、130名指战员到场处置,6时01分明火被扑灭,",supported,no_issue_detected
E032,LLM_E032_004,梅州市政府,发布灾情信息，参与救援协调,neutral,ev-00760是梅州市政府办公室关于塌方的信息公开文件,ev-00760,,梅州市人民政府办公室政府信息公开 索引号: 753001/2024-00331 分类: 其他、其他 发布机构: 梅州市人民政府办公室 成文日期: 2024-05-02 名称: 梅大高速茶阳路段发生塌方,supported,no_issue_detected
E034,LLM_E034_001,成都市居民,通过12345热线投诉燃气问题，包括气表计量和收费异常,negative,官方通报显示4月以来收到1996件燃气投诉,ev-00821|ev-00815,,"4月20日,成都市市场监督管理局发布关于市民反映燃气相关问题调查核实情况的通报。全文如下: 4月以来,我市12345热线截至19日共接到1996件燃气问题投诉,并有网友发帖质疑气表计量、燃气收费、企业",supported,no_issue_detected
E034,LLM_E034_003,燃气企业,被调查出存在违规估抄和计费周期随意变化等行为,negative,官方通报明确指出了燃气企业的这些问题,ev-00822|ev-01903,,"成都市市场监督管理局发布通报,调查核实燃气问题投诉1996件,已办理1189件。发现燃气企业存在以估代抄、违规估抄、计费采集系统漏洞、计费周期随意变化、服务意识差等问题。将开展燃气问题专项整治行动,强",supported,no_issue_detected
E034,LLM_E034_004,市民,质疑燃气企业服务质量和气表准确性,negative,网友发帖质疑，官方通报也提及,ev-00821|ev-01902,,"4月20日,成都市市场监督管理局发布关于市民反映燃气相关问题调查核实情况的通报。全文如下: 4月以来,我市12345热线截至19日共接到1996件燃气问题投诉,并有网友发帖质疑气表计量、燃气收费、企业",supported,stakeholder_too_generic
E034,LLM_E034_005,成都市市场监督管理局,将开展燃气问题专项整治行动,positive,通报中表示将开展专项整治,ev-00822,,"成都市市场监督管理局发布通报,调查核实燃气问题投诉1996件,已办理1189件。发现燃气企业存在以估代抄、违规估抄、计费采集系统漏洞、计费周期随意变化、服务意识差等问题。将开展燃气问题专项整治行动,强",supported,sentiment_questionable
E035,LLM_E035_004,杭州余杭水务控股集团有限公司,声明自来水异味系水源异常所致，非污水进入管网，除异味外水质指标正常,neutral,水务公司对外澄清异味原因并说明水质安全,ev-00835,,"7月16日,杭州余杭区有市民反映自来水气味发臭,怀疑有污水进入自来水管网。7月17日,杭州余杭水务控股集团有限公司工作人员称,自来水有异味系水源出现异常,非污水进入管网,除有异味外自来水指标正常,16",supported,too_long_or_not_atomic
E036,LLM_E036_002,当地居民,怀疑污染与上游来水有关,negative,媒体报道居民认为污染可能来自上游，表达担忧,ev-00862,,"5月23日,有媒体报道滁河南京浦口段突然被严重污染,水质恶臭,出现大量死鱼死虾。滁河发源于安徽,经南京流入长江。当地居民说污染可能与上游来水有关。 5月27日上午,安徽省滁州市生态环境局就媒体报道滁河",supported,no_issue_detected
E036,LLM_E036_003,滁州市人民政府,发布处置进展通报，说明污染源于火灾并采取筑坝截污等措施,neutral,官方通报详细说明污染源和应对措施，体现政府行动,ev-01933|ev-01942,,"内容提要: 据“美好滁州”微信公众号消息,安徽滁河水体污染联合调查组29日发布《关于滁河水体污染处置进展情况的通报》称,近日,由于安徽省滁州市全椒经开区的滁州富信石油助剂有限公司原料仓库发生火灾,部分",supported,no_issue_detected
E037,LLM_E037_002,应急管理部,发布事故调查报告，认定事故直接原因为改造施工火花引燃涂料挥发物，并提出防范措施,neutral,官方转载的调查报告明确事故原因和责任，体现监管部门的调查结论,ev-00882|ev-01956,,"北京丰台长峰医院“4·18”重大火灾事故调查报告.pdf 下载 2023年4月18日12时50分,北京市丰台区靛厂新村291号北京长峰医院发生重大火灾事故,造成29人死亡、42人受伤,直接经济损失38",supported,too_long_or_not_atomic
E038,LLM_E038_001,国务院事故调查组,认定事故是因相关企业违规经营配送不合格气瓶及烧烤店违规操作导致，要求依法严肃追责,negative,调查组官方报告明确事故原因与责任划分，指向企业和烧烤店违规,ev-00935|ev-00933,,"宁夏银川富洋烧烤店“6·21”特别重大燃气爆炸事故调查报告发布,可以用三个非常概括。调查认定,这是一起因相关企业违法违规检验、经营,并配送不符合标准的液化石油气瓶,烧烤店在使用中违规操作发生泄漏爆炸,",supported,no_issue_detected
E038,LLM_E038_002,富洋烧烤店,在操作间液化石油气泄漏后违规处置，引发爆炸，应承担主要直接责任,negative,调查认定烧烤店使用中违规操作发生泄漏爆炸，证据充分,ev-01976|ev-00935,,"2023年6月21日,宁夏银川市兴庆区富洋烧烤民族街店发生燃气爆炸事故,造成31人死亡、7人受伤。事故原因是相关企业违法违规检验、经营,并配送不符合标准的液化石油气瓶,烧烤店在使用中违规操作发生泄漏爆",supported,too_long_or_not_atomic
E038,LLM_E038_003,银川市政府,事故后迅速开展救援和善后，但暴露出监管不足，需加强燃气安全监管,mixed,官方通报提到救援行动，但调查报告指出监管漏洞，要求整改,ev-01982|ev-00935,,"记者从宁夏回族自治区党委获悉,6月21日20时40分许,宁夏回族自治区银川市兴庆区民族南街富洋 烧烤店操作间液化石油气(液化气罐)泄漏引发爆炸, 造成38人伤亡,其中31人经抢救无效死亡,7人正在全力",partially_supported,evidence_weak_support|sentiment_questionable|too_long_or_not_atomic
E039,LLM_E039_005,公众与网民,质疑燃气安全和施工管理，呼吁加强监管和问责,negative,网络讨论中普遍要求追究责任并加强安全措施,ev-00976|ev-00983,,"3月13日7时54分,一燕郊网友的行车记录仪记录下了爆燃事故的全程。三河市应急管理局通报,爆燃事故疑似燃气泄漏引发。有网友发视频称发生二次爆炸,请围观群众迅速撤离!",supported,no_issue_detected
E040,LLM_E040_001,应急管理部,立即派出工作组和医疗专家组赶赴现场指导救援处置工作,positive,从官方通报中可见应急管理部在火灾发生后迅速调度资源，体现了高效应急响应。,ev-01362|ev-01364,,"山西吕梁市永聚煤矿一办公楼发生火灾 应急管理部持续调度指导救援处置工作 派出工作组和医疗专家组赶赴现场 11月16日7时许,山西吕梁市永聚煤矿一办公楼发生火灾,造成重大人员伤亡。 接报后,应急管理部部",supported,no_issue_detected
E040,LLM_E040_002,山西省政府新闻办公室,召开火灾事故情况通报会，向公众说明事故伤亡和救援进展,neutral,evidence包含召开通报会的明确记载，是政府信息公开的常规操作。,ev-01363,,"“CGTN记者团”微博消息,11月17日下午3点,山西省人民政府新闻办公室在山西吕梁市召开永聚煤业办公楼“11.16”重大火灾事故情况通报会,会",supported,no_issue_detected
E041,LLM_E041_005,公众,担忧无人出租车安全问题和事故,negative,报道提及萝卜快跑与行人相撞等事故，引发安全担忧,ev-02024|ev-01012,,"“萝卜快跑”最近火了。日前,百度旗下的“萝卜快跑”频频登上热搜,7月7日在武汉街头与行人相撞,7月10日因订单暴涨致百度集团股价上涨超10%,7月11日无人驾驶网约车在武汉街头“罢工”......争议",supported,stakeholder_too_generic
E043,LLM_E043_001,武汉市城管执法委,联合市交通运输局、市公安局交通管理局召开共享单车专题调度会，要求哈啰、美团、青桔等企业回收违规超量投放车辆10万余辆，并加强运维管理,neutral,官方报道显示城管执法委牵头整治行动，对共享单车企业提出具体回收要求,ev-01091|ev-01069|ev-01072,,"观点网讯:8月11日,武汉市城管执法委员会联合市交通运输局、市公安局交通管理局召开共享单车专题调度会。会议通报,近一个月以来,累计督促哈啰、美团、青桔三家共享单车经营企业回收违规超量投放车辆10万余辆",supported,too_long_or_not_atomic
E043,LLM_E043_004,武汉市交通运输局,回应市民引进共享电动单车的请求，引用2017年十部委文件，表明当前政策不支持新增电动共享单车,neutral,官方回复明确引用国家政策作为依据，未直接拒绝但指出政策限制,ev-01104|ev-01105|ev-01106|ev-01113,,"近日,有网友在武汉城市留言板反映,请武汉市政府引进共享电动单车,方便各地大学生来武旅游,填补地铁、公交线路的不足。 武汉市交通运输局最新回应:2017年8月,交通运输部、公安部等十部委出台《关于鼓励和",supported,too_long_or_not_atomic
E044,LLM_E044_005,共享单车运营企业（哈啰、美团、青桔）,经政府招商进驻牡丹江市，需遵守政府管理规定，加强车辆调度和停放管理,neutral,运营企业通过招商进入市场，并被要求落实主体责任,ev-01124|ev-01117,,"#城市观察员#牡丹江市政府办公室消息: 目前,牡丹江市城区内运营的共享单车企业共有3家,分别是哈啰、美团和青桔。三家共享单车运营企业是2020年6月至今陆续经过市政府及相关部门招商进驻我市。依据《黑龙",supported,too_long_or_not_atomic
E045,LLM_E045_004,武汉东湖风景区城管执法局,在东湖风景区试点启用共享单车‘电子围栏’技术，规范停车效果显著,positive,ev-01138报道电子围栏已收到效果，体现政府积极采用技术手段治理乱象,ev-01138,,"“共享单车一族”注意了 如果任性随意停放共享单车 将有可能锁不上车 还要多付费用 11月23日,记者 从市城管部门获悉 在东湖风景区推出的20处“电子围栏” 已在规范停车方面收到效果 下一步将在全市铺",supported,sentiment_questionable
E046,LLM_E046_EXP_001,公众,公众对工信部2024年第2批62款App及SDK侵害用户权益通报事件表示关注和担忧，要求相关部门彻查并公布结果,negative,社交媒体和论坛证据ev-01157反映了公众的观点,ev-01157,,"工信部对APP、SDK违法违规收集使用个人信息等问题开展治理。近期,经组织第三方检测机构进行抽查,共发现42款APP及SDK存在侵害用户权益行为,现予以通报。详见↓综合自:上海发布、工信部编辑:罗时珎",supported,stakeholder_too_generic|too_long_or_not_atomic
E048,LLM_E048_001,江苏省通信管理局,高度重视用户权益保护工作，依法通报并责令整改,positive,官方通报明确表示‘高度重视用户权益保护工作’，并依据法规要求App整改，体现积极监管态度。,ev-01199|ev-01198,,"2月20日,记者从江苏省通信管理局官网获悉,江苏省通信管理局通报2025年第1批侵害用户权益行为APP。 图源 江苏省通信管理局官网 江苏省通信管理局高度重视用户权益保护工作,依据《个人信息保护法》《",supported,sentiment_questionable
E049,LLM_E049_003,网约车司机,投诉平台存在‘阴阳账单’，实际抽成远高于显示比例,negative,司机具体投诉案例显示乘客支付金额与司机端显示不一致,ev-01369|ev-01217,,"我们先来看一笔账单。但司机端却显示乘客只支付了144.27元,抽成只有25.69%。在企业订单和第三方渠道订单中,这种“阴阳账单”更是屡见不鲜。有司机提醒,如果你在机场接到这类订单,可得留神了,抽佣比",supported,no_issue_detected
E049,LLM_E049_005,专家,应进一步明确聚合平台与网约车公司的权责，压实平台责任,neutral,专家观点呼吁厘清责任，保障各方权益,ev-01390,,"网约车聚合平台正在打车出行中扮演越来越重要的角色,与此同时,平台对第三方网约车公司缺乏监管,带来的问题也引发了关注。有关专家认为,应进一步明确网约车聚合平台、网约车公司间的权责界定,压实平台责任。 ―",supported,stakeholder_too_generic
